Date,Close_HDFC,Close_KOTAK,Close_SBI
1/3/2017,1214.00,711.75,244.90
1/4/2017,1212.10,695.60,242.90
1/5/2017,1217.20,698.95,245.35
1/6/2017,1222.35,716.85,245.90
1/9/2017,1223.55,709.25,247.05
1/10/2017,1217.25,712.65,248.30
1/11/2017,1230.05,728.40,252.15
1/12/2017,1221.10,727.95,251.25
1/13/2017,1247.50,727.75,250.90
1/16/2017,1256.90,731.20,255.75
1/17/2017,1245.80,726.00,256.00
1/18/2017,1249.05,731.10,258.35
1/19/2017,1242.40,728.20,258.40
1/20/2017,1237.30,723.05,251.05
1/23/2017,1259.75,732.75,254.15
1/24/2017,1280.75,743.35,254.90
1/25/2017,1337.40,795.20,259.20
1/27/2017,1373.70,785.05,266.45
1/30/2017,1371.90,775.60,263.95
1/31/2017,1365.85,774.15,260.35
2/1/2017,1412.10,777.05,270.70
2/2/2017,1401.30,770.40,273.30
2/3/2017,1397.45,765.30,277.55
2/6/2017,1400.30,766.70,277.05
2/7/2017,1407.25,773.35,277.90
2/8/2017,1401.10,767.60,277.20
2/9/2017,1396.90,769.65,275.85
2/10/2017,1388.55,778.90,276.35
2/13/2017,1392.05,793.15,271.65
2/14/2017,1398.15,790.30,270.20
2/15/2017,1399.15,784.30,268.95
2/16/2017,1393.55,792.50,270.50
2/17/2017,1402.50,796.50,269.35
2/20/2017,1393.30,797.05,269.65
2/21/2017,1412.45,797.90,270.70
2/22/2017,1394.10,795.85,272.30
2/23/2017,1385.70,810.95,270.45
2/27/2017,1375.70,800.50,268.25
2/28/2017,1370.05,802.10,269.20
3/1/2017,1400.55,824.15,271.75
3/2/2017,1399.00,816.15,267.30
3/3/2017,1371.20,809.50,265.05
3/6/2017,1365.95,818.95,269.85
3/7/2017,1365.40,817.00,267.80
3/8/2017,1367.70,824.90,269.90
3/9/2017,1371.50,825.45,273.25
3/10/2017,1373.80,828.90,272.05
3/14/2017,1424.15,836.15,274.65
3/15/2017,1426.10,844.15,277.35
3/16/2017,1450.25,851.40,279.30
3/17/2017,1451.20,848.25,274.15
3/20/2017,1457.75,854.60,273.90
3/21/2017,1458.40,859.55,272.35
3/22/2017,1442.30,862.20,267.50
3/23/2017,1456.65,868.15,268.50
3/24/2017,1462.60,879.35,276.50
3/27/2017,1474.70,871.15,279.45
3/28/2017,1504.10,859.45,282.10
3/29/2017,1522.05,857.60,288.45
3/30/2017,1519.95,865.15,291.05
3/31/2017,1502.10,872.20,293.40
4/3/2017,1533.65,875.95,293.15
4/5/2017,1490.15,889.85,297.35
4/6/2017,1482.60,894.35,292.85
4/7/2017,1484.75,873.10,289.45
4/10/2017,1467.50,877.35,289.35
4/11/2017,1476.85,881.05,294.50
4/12/2017,1466.65,879.40,290.15
4/13/2017,1474.90,879.50,291.55
4/17/2017,1479.55,887.60,289.90
4/18/2017,1480.05,881.65,290.30
4/19/2017,1490.20,875.60,284.05
4/20/2017,1517.10,889.15,284.80
4/21/2017,1507.45,880.40,282.20
4/24/2017,1530.70,895.75,286.05
4/25/2017,1548.40,898.00,286.05
4/26/2017,1586.00,900.35,286.45
4/27/2017,1566.50,916.65,282.05
4/28/2017,1537.15,901.95,289.75
5/2/2017,1584.75,917.90,288.30
5/3/2017,1571.30,916.95,289.80
5/4/2017,1564.35,905.45,299.05
5/5/2017,1546.85,908.30,296.00
5/8/2017,1529.50,907.35,299.40
5/9/2017,1523.50,906.85,296.50
5/10/2017,1572.00,927.65,294.45
5/11/2017,1565.30,936.80,298.10
5/12/2017,1549.80,954.65,297.90
5/15/2017,1559.50,973.30,301.40
5/16/2017,1566.55,959.85,307.50
5/17/2017,1552.50,951.20,307.65
5/18/2017,1537.05,942.85,302.95
5/19/2017,1520.60,937.35,308.00
5/22/2017,1519.85,941.25,294.30
5/23/2017,1511.50,940.25,288.85
5/24/2017,1524.85,936.10,283.15
5/25/2017,1539.75,956.50,290.10
5/26/2017,1547.90,965.05,288.45
5/29/2017,1598.85,968.55,284.00
5/30/2017,1579.50,961.95,288.85
5/31/2017,1569.85,966.05,288.30
6/1/2017,1583.75,962.65,287.45
6/2/2017,1604.65,965.25,287.05
6/5/2017,1606.15,967.00,287.25
6/6/2017,1605.75,966.40,287.30
6/7/2017,1599.35,968.65,290.55
6/8/2017,1633.55,978.85,288.60
6/9/2017,1647.20,985.10,288.55
6/12/2017,1647.50,976.70,284.95
6/13/2017,1667.65,974.20,283.85
6/14/2017,1651.10,968.05,284.20
6/15/2017,1636.85,962.60,284.00
6/16/2017,1640.85,982.65,285.95
6/19/2017,1654.20,987.55,288.85
6/20/2017,1631.50,983.05,290.10
6/21/2017,1628.25,991.95,290.90
6/22/2017,1653.80,997.90,294.50
6/23/2017,1651.35,985.20,288.95
6/27/2017,1651.05,974.75,279.65
6/28/2017,1629.00,972.20,276.40
6/29/2017,1632.20,948.35,272.45
6/30/2017,1614.95,955.75,273.65
7/3/2017,1621.65,948.85,274.85
7/4/2017,1640.65,958.80,273.00
7/5/2017,1629.10,959.85,274.90
7/6/2017,1647.90,958.10,281.00
7/7/2017,1629.15,964.70,280.10
7/10/2017,1638.85,968.00,285.55
7/11/2017,1642.75,958.75,283.55
7/12/2017,1639.95,956.65,287.65
7/13/2017,1656.90,962.10,288.75
7/14/2017,1647.70,977.20,291.60
7/17/2017,1652.35,979.70,293.00
7/18/2017,1653.00,977.10,291.00
7/19/2017,1654.85,994.20,293.30
7/20/2017,1651.00,980.00,290.95
7/21/2017,1640.95,999.45,290.65
7/24/2017,1632.25,992.95,294.55
7/25/2017,1632.05,987.95,296.10
7/26/2017,1633.45,986.55,295.80
7/27/2017,1728.20,998.15,298.35
7/28/2017,1785.35,1012.70,299.10
7/31/2017,1789.25,1021.65,312.50
8/1/2017,1779.10,1015.30,309.00
8/2/2017,1766.40,1010.90,307.70
8/3/2017,1736.75,996.40,300.55
8/4/2017,1731.35,996.20,305.25
8/7/2017,1725.40,997.90,311.20
8/8/2017,1719.90,987.70,303.65
8/9/2017,1731.65,992.40,302.30
8/10/2017,1709.80,996.80,296.70
8/11/2017,1695.35,992.20,280.15
8/14/2017,1713.95,982.60,278.20
8/16/2017,1741.75,1000.55,283.10
8/17/2017,1759.25,989.00,280.85
8/18/2017,1735.05,983.55,278.70
8/21/2017,1738.15,969.55,274.65
8/22/2017,1750.40,970.80,273.90
8/23/2017,1765.25,980.10,279.00
8/24/2017,1757.35,972.10,280.30
8/28/2017,1766.45,976.05,279.35
8/29/2017,1727.80,964.40,277.00
8/30/2017,1759.05,971.35,276.60
8/31/2017,1776.90,976.00,277.75
9/1/2017,1759.55,992.55,277.85
9/4/2017,1755.40,978.10,277.75
9/5/2017,1767.30,988.40,276.55
9/6/2017,1775.00,996.15,274.25
9/7/2017,1781.70,993.50,274.20
9/8/2017,1779.15,1007.55,271.80
9/11/2017,1781.70,1006.50,270.95
9/12/2017,1798.10,1021.75,273.45
9/13/2017,1778.10,1020.15,273.40
9/14/2017,1771.80,1007.60,274.20
9/15/2017,1768.95,1005.05,271.50
9/18/2017,1771.75,1017.05,270.40
9/19/2017,1752.60,1034.35,267.80
9/20/2017,1767.15,1023.20,270.05
9/21/2017,1788.60,1029.15,268.50
9/22/2017,1780.95,1021.90,261.85
9/25/2017,1755.05,999.50,258.75
9/26/2017,1741.25,994.00,258.25
9/27/2017,1719.35,979.60,250.40
9/28/2017,1744.35,1005.25,252.55
9/29/2017,1742.15,1002.25,253.85
10/3/2017,1761.60,1006.55,251.30
10/4/2017,1768.10,1029.45,253.20
10/5/2017,1751.70,1032.80,251.60
10/6/2017,1740.00,1039.50,256.75
10/9/2017,1749.70,1049.95,256.85
10/10/2017,1744.75,1055.65,256.95
10/11/2017,1750.75,1043.85,251.75
10/12/2017,1755.55,1057.60,251.20
10/13/2017,1766.45,1082.35,252.10
10/16/2017,1762.90,1082.50,252.05
10/17/2017,1759.75,1078.60,251.15
10/18/2017,1751.55,1095.90,243.75
10/19/2017,1745.75,1077.75,242.75
10/23/2017,1722.40,1061.55,245.95
10/24/2017,1722.30,1065.70,254.45
10/25/2017,1677.65,1010.55,324.90
10/26/2017,1692.35,1018.90,320.50
10/27/2017,1699.05,1029.00,311.05
10/30/2017,1705.80,1028.90,312.00
10/31/2017,1707.40,1025.05,305.80
11/1/2017,1754.30,1024.35,319.85
11/2/2017,1762.25,1019.55,314.35
11/3/2017,1776.30,1015.50,325.00
11/6/2017,1790.20,1009.75,329.00
11/7/2017,1764.65,1013.30,317.20
11/8/2017,1747.45,1011.40,309.55
11/9/2017,1725.85,1005.35,313.70
11/10/2017,1709.50,993.40,333.55
11/13/2017,1670.30,994.70,331.05
11/14/2017,1661.40,999.20,329.10
11/15/2017,1650.90,1011.50,324.95
11/16/2017,1664.40,1017.45,333.40
11/17/2017,1705.50,1023.20,337.50
11/20/2017,1689.20,1040.55,333.00
11/21/2017,1694.50,1029.85,330.65
11/22/2017,1718.15,1026.25,335.30
11/23/2017,1704.60,1022.10,334.95
11/24/2017,1711.05,1030.35,332.40
11/27/2017,1711.00,1036.45,335.65
11/28/2017,1725.50,1029.85,332.00
11/29/2017,1704.15,1026.25,328.90
11/30/2017,1675.70,1000.30,320.35
12/1/2017,1658.80,1005.15,312.75
12/4/2017,1680.40,997.95,313.60
12/5/2017,1679.50,999.85,319.10
12/6/2017,1648.40,999.65,312.40
12/7/2017,1655.55,1001.60,316.40
12/8/2017,1682.95,1009.00,313.10
12/11/2017,1709.95,1008.50,318.40
12/12/2017,1710.80,1000.40,318.45
12/13/2017,1696.70,1014.90,313.30
12/14/2017,1704.50,1024.65,314.00
12/15/2017,1723.00,1030.10,312.25
12/18/2017,1719.95,1023.20,318.90
12/19/2017,1709.15,1021.35,319.80
12/20/2017,1693.70,1012.70,317.50
12/21/2017,1701.90,1010.55,316.75
12/22/2017,1709.35,1010.05,319.85
12/26/2017,1713.20,1016.25,317.15
12/27/2017,1707.90,1014.05,314.85
12/28/2017,1696.15,1004.75,308.40
12/29/2017,1710.40,1010.20,309.90
1/1/2018,1683.75,999.95,307.10
1/2/2018,1703.25,1003.20,303.25
1/3/2018,1700.80,1000.10,302.85
1/4/2018,1703.20,1000.40,308.50
1/5/2018,1725.20,1003.05,306.35
1/8/2018,1740.95,1006.10,305.80
1/9/2018,1735.05,1009.75,304.30
1/10/2018,1726.45,1002.25,301.10
1/11/2018,1741.35,1017.65,302.20
1/12/2018,1760.95,1023.35,302.25
1/15/2018,1871.20,1038.35,302.60
1/16/2018,1845.95,1033.25,296.15
1/17/2018,1858.35,1027.10,307.10
1/18/2018,1896.80,1046.50,303.25
1/19/2018,1901.25,1060.55,309.25
1/22/2018,1872.00,1074.10,306.50
1/23/2018,1884.65,1075.45,318.10
1/24/2018,1911.20,1080.10,329.90
1/25/2018,1908.30,1092.35,313.15
1/29/2018,1967.60,1115.10,312.10
1/30/2018,1937.50,1088.05,313.55
1/31/2018,1956.30,1108.95,313.25
2/1/2018,1967.55,1120.95,306.05
2/2/2018,1903.85,1085.95,297.35
2/5/2018,1823.35,1062.25,298.05
2/6/2018,1788.60,1033.80,291.75
2/7/2018,1785.35,1036.30,292.80
2/8/2018,1811.80,1051.75,301.40
2/9/2018,1773.05,1032.00,296.40
2/12/2018,1805.45,1042.95,288.75
2/14/2018,1814.00,1042.45,276.20
2/15/2018,1829.50,1042.15,278.70
2/16/2018,1815.50,1050.20,271.65
2/19/2018,1814.05,1056.20,268.50
2/20/2018,1811.75,1045.80,269.65
2/21/2018,1824.80,1055.05,273.30
2/22/2018,1819.25,1072.50,272.60
2/23/2018,1824.20,1080.85,276.05
2/26/2018,1843.25,1105.15,274.45
2/27/2018,1828.65,1093.05,267.60
2/28/2018,1808.70,1090.55,268.00
3/1/2018,1814.15,1095.70,262.15
3/5/2018,1789.60,1100.00,263.50
3/6/2018,1782.80,1082.45,256.55
3/7/2018,1761.75,1085.10,246.65
3/8/2018,1798.75,1082.30,256.80
3/9/2018,1818.60,1082.45,253.25
3/12/2018,1858.05,1100.60,252.85
3/13/2018,1868.50,1083.90,254.70
3/14/2018,1844.70,1081.75,257.05
3/15/2018,1830.00,1085.65,253.70
3/16/2018,1791.40,1060.75,252.30
3/19/2018,1774.50,1049.00,247.95
3/20/2018,1800.05,1045.30,249.10
3/21/2018,1817.85,1051.10,248.00
3/22/2018,1809.55,1053.05,241.55
3/23/2018,1789.60,1038.80,234.80
3/26/2018,1830.15,1039.35,246.50
3/27/2018,1823.15,1049.85,254.35
3/28/2018,1825.60,1047.80,249.90
4/2/2018,1838.05,1096.55,246.15
4/3/2018,1825.70,1103.30,250.50
4/4/2018,1803.30,1078.30,247.30
4/5/2018,1824.45,1118.30,259.30
4/6/2018,1829.00,1119.20,259.70
4/9/2018,1836.70,1118.25,260.65
4/10/2018,1817.50,1113.65,263.30
4/11/2018,1812.40,1126.10,257.05
4/12/2018,1829.05,1134.60,253.80
4/13/2018,1840.60,1151.10,250.95
4/16/2018,1870.45,1172.10,249.00
4/17/2018,1889.70,1164.85,248.15
4/18/2018,1877.70,1153.95,246.45
4/19/2018,1858.65,1153.90,246.15
4/20/2018,1834.15,1152.85,241.20
4/23/2018,1830.85,1169.00,242.45
4/24/2018,1859.55,1166.00,240.60
4/25/2018,1849.50,1167.85,237.20
4/26/2018,1850.45,1185.70,233.20
4/27/2018,1853.75,1188.75,242.60
4/30/2018,1883.25,1211.10,246.40
5/2/2018,1910.60,1256.85,241.00
5/3/2018,1922.70,1233.55,241.90
5/4/2018,1910.35,1233.45,241.95
5/7/2018,1918.70,1245.05,246.50
5/8/2018,1903.35,1241.85,250.05
5/9/2018,1897.65,1251.15,248.00
5/10/2018,1894.30,1247.50,247.95
5/11/2018,1919.80,1267.30,250.35
5/14/2018,1930.60,1271.60,253.60
5/15/2018,1929.55,1283.85,248.00
5/16/2018,1914.55,1281.40,243.10
5/17/2018,1875.10,1270.70,242.70
5/18/2018,1853.00,1294.40,238.85
5/21/2018,1819.20,1276.65,244.45
5/22/2018,1810.00,1262.70,253.90
5/23/2018,1783.65,1255.35,263.20
5/24/2018,1806.10,1275.45,268.50
5/25/2018,1819.75,1295.85,266.95
5/28/2018,1829.55,1297.15,272.05
5/29/2018,1809.75,1284.25,264.30
5/30/2018,1790.80,1303.25,267.15
5/31/2018,1833.00,1334.60,269.55
6/1/2018,1844.25,1318.00,266.70
